title,day,url
合気道神武錬成塾演武大会 白川竜次先生 shirakawa ryuji sensei aikido demonstration,2011/02/06,https://www.youtube.com/watch?v=W6qAaIBDKAg
合気道神武錬成塾 白川竜次先生 shirakawa ryuji sensei demonstration 2011summer camp,2011/03/20,https://www.youtube.com/watch?v=OKyq83Xayx8
合気道神武錬成塾演武大会 白川竜次先生 shirakawa ryuji sensei,2011/03/22,https://www.youtube.com/watch?v=Qwg4ivIeprE
合気道神武錬成塾 白川竜次先生 平成２３年【夏合宿演武】,2011/08/28,https://www.youtube.com/watch?v=RNEkZIusHzg
第１０回合気道神武錬成塾演武大会 白川竜次先生,2011/12/09,https://www.youtube.com/watch?v=fukryKbbD8U
スロー映像01（小手返し） slow motion aikido,2011/12/31,https://www.youtube.com/watch?v=jdlMTfoTyzU
スロー映像02（小手返し＆四方投げ）slow motion aikido,2011/12/31,https://www.youtube.com/watch?v=tJ2dcw8a8_A
スロー映像03（入身投げ）slow motion aikido,2012/01/02,https://www.youtube.com/watch?v=zIN3w_WLg5Q
スロー映像04（腕絡み投げ）slow motion aikido,2012/01/02,https://www.youtube.com/watch?v=0sO7HdG1q-I
連続技 合気道技まとめ 神武錬成塾　aikido shinburenseijyuku,2012/01/02,https://www.youtube.com/watch?v=w_JT2OpywD4
Shirakawa Ryuji Sensei at The 50th All Japan Aikido Demonstration,2012/05/31,https://www.youtube.com/watch?v=zOJxeAi-ECQ
夏合宿2012 白川竜次先生 Shirakawa Ryuji sensei summer camp,2012/08/09,https://www.youtube.com/watch?v=ATBRXEoFMEw
全東北合気道演武大会　白川竜次先生　Shirakawa Ryuji sensei,2012/10/26,https://www.youtube.com/watch?v=7GawZ1Zvtpk
Shirakawa Ryuji sensei 2012 summer camp,2012/12/19,https://www.youtube.com/watch?v=jT_VxCpNhSE
合氣道神武錬成塾 演武大会 白川竜次先生　Shirakawa Ryuji sensei 【2012】,2012/12/28,https://www.youtube.com/watch?v=DC64hgwJHug
Iriminage - Shirakawa Ryuji sensei,2013/02/17,https://www.youtube.com/watch?v=Bgr-OylS8j0
Aikido Shinburenseijuku - Shirakawa Ryuji sensei 2013,2013/02/19,https://www.youtube.com/watch?v=IgUUG4SmnTM
Kotegaeshi - Shirakawa Ryuji sensei,2013/02/23,https://www.youtube.com/watch?v=Z9dPJbll49k
合気道神武錬成塾 白川竜次先生 Shirakawa Ryuji sensei,2013/03/30,https://www.youtube.com/watch?v=IDfQHotJAEE
白川竜次先生 Shirakawa Ryuji sensei 【2013.5.19】Aikido Demonstration highlight,2013/06/02,https://www.youtube.com/watch?v=sIOPf4lH55E
連続技 合気道技まとめ03 神武錬成塾　aikido shinburenseijuku,2013/07/03,https://www.youtube.com/watch?v=cRlI-tyEjZo
夏合宿2013 白川竜次先生 Shirakawa Ryuji sensei summer camp 2013,2013/08/07,https://www.youtube.com/watch?v=RMKihaQZbm4
連続技 合気道技まとめ04 神武錬成塾　aikido shinburenseijuku,2013/08/13,https://www.youtube.com/watch?v=we3911OWPbE
